ell_or_theta,measured_statistic
4.48415276244,3.99961788749e-05
5.64532380724,2.87759441601e-05
7.1071046662,2.5501133246e-05
8.94848809372,2.63258314602e-05
11.2635610799,1.87989000005e-05
14.1802902138,1.36363079522e-05
17.8532829068,1.32512309821e-05
22.4731641777,1.24364663456e-05
28.2947316838,8.58942618089e-06
35.6179448402,7.91344406878e-06
44.8387551669,5.38912536099e-06
56.4471271914,4.44049112143e-06
71.0592411513,3.40362247615e-06
89.4536687804,2.20229776788e-06
112.618292764,1.45326723791e-06
141.764040453,1.91944299899e-06
178.462429974,5.17345455526e-08
224.645347996,3.90410128242e-07
