i,val
0,2.5582549999999999e-09
1,1.7487399999999999e-09
2,1.1578660000000000e-09
3,7.6009479999999999e-10
4,5.0562640000000003e-10
5,3.4280419999999999e-10
6,2.3650849999999998e-10
7,1.6394290000000000e-10
8,1.1218080000000000e-10
9,7.4494270000000002e-11
10,4.7387379999999997e-11
11,2.8646880000000001e-11
12,1.6422930000000001e-11
13,8.9583010000000005e-12
14,4.6834669999999999e-12
15,0.0000000000000000e+00
16,0.0000000000000000e+00
17,0.0000000000000000e+00
18,0.0000000000000000e+00
19,0.0000000000000000e+00
20,4.3059800000000001e-09
21,3.0089100000000001e-09
22,2.0240059999999999e-09
23,1.3239910000000000e-09
24,8.6897350000000003e-10
25,5.7942150000000001e-10
26,3.9463639999999998e-10
27,2.7287479999999999e-10
28,1.8838990000000000e-10
29,1.2772579999999999e-10
30,8.3602420000000002e-11
31,5.2219280000000000e-11
32,3.0938850000000000e-11
33,1.7384840000000001e-11
34,9.3204329999999994e-12
35,0.0000000000000000e+00
36,0.0000000000000000e+00
37,0.0000000000000000e+00
38,0.0000000000000000e+00
39,0.0000000000000000e+00
40,4.9731790000000001e-09
41,3.4966470000000002e-09
42,2.3659919999999998e-09
43,1.5497280000000000e-09
44,1.0135600000000000e-09
45,6.7293380000000004e-10
46,4.5625860000000000e-10
47,3.1471270000000003e-10
48,2.1770410000000000e-10
49,1.4827119999999999e-10
50,9.7747059999999994e-11
51,6.1589280000000002e-11
52,3.6834530000000001e-11
53,2.0881720000000001e-11
54,1.1269370000000000e-11
55,0.0000000000000000e+00
56,0.0000000000000000e+00
57,0.0000000000000000e+00
58,0.0000000000000000e+00
59,0.0000000000000000e+00
60,5.3880970000000003e-09
61,3.7998140000000004e-09
62,2.5787899999999999e-09
63,1.6901439999999999e-09
64,1.1035720000000000e-09
65,7.3113940000000004e-10
66,4.9458570000000002e-10
67,3.4076769999999999e-10
68,2.3586980000000002e-10
69,1.6100230000000000e-10
70,1.0651640000000000e-10
71,6.7405489999999997e-11
72,4.0490239999999997e-11
73,2.3049580000000000e-11
74,1.2481810000000000e-11
75,0.0000000000000000e+00
76,0.0000000000000000e+00
77,0.0000000000000000e+00
78,0.0000000000000000e+00
79,0.0000000000000000e+00
80,5.7639069999999997e-09
81,4.0741239999999996e-09
82,2.7716570000000002e-09
83,1.8171909999999999e-09
84,1.1849220000000001e-09
85,7.8376189999999998e-10
86,5.2927800000000004e-10
87,3.6433690000000000e-10
88,2.5230839999999999e-10
89,1.7252720000000001e-10
90,1.1444520000000000e-10
91,7.2664099999999999e-11
92,4.3799289999999997e-11
93,2.5011879999999999e-11
94,1.3580590000000000e-11
95,0.0000000000000000e+00
96,0.0000000000000000e+00
97,0.0000000000000000e+00
98,0.0000000000000000e+00
99,0.0000000000000000e+00
100,9.2329150000000001e-09
101,6.6727910000000000e-09
102,4.6516409999999998e-09
103,3.1045320000000000e-09
104,2.0123410000000000e-09
105,1.3137070000000001e-09
106,8.7050060000000003e-10
107,5.9052450000000003e-10
108,4.0717059999999999e-10
109,2.8082279999999998e-10
110,1.9009170000000001e-10
111,1.2420679999999999e-10
112,7.7415869999999997e-11
113,4.5746460000000002e-11
114,2.5624289999999999e-11
115,0.0000000000000000e+00
116,0.0000000000000000e+00
117,0.0000000000000000e+00
118,0.0000000000000000e+00
119,0.0000000000000000e+00
120,1.1998940000000000e-08
121,8.7886719999999998e-09
122,6.2070599999999999e-09
123,4.2067260000000004e-09
124,2.7355100000000002e-09
125,1.7736419999999999e-09
126,1.1640530000000001e-09
127,7.8093539999999997e-10
128,5.3495780000000000e-10
129,3.6906660000000000e-10
130,2.5177219999999998e-10
131,1.6680730000000001e-10
132,1.0586010000000000e-10
133,6.3816900000000000e-11
134,3.6452880000000002e-11
135,0.0000000000000000e+00
136,0.0000000000000000e+00
137,0.0000000000000000e+00
138,0.0000000000000000e+00
139,0.0000000000000000e+00
140,1.3781590000000001e-08
141,1.0159850000000000e-08
142,7.2161650000000004e-09
143,4.9225279999999997e-09
144,3.2095090000000001e-09
145,2.0744670000000000e-09
146,1.3562380000000000e-09
147,9.0548060000000005e-10
148,6.1808159999999999e-10
149,4.2634349999999998e-10
150,2.9174849999999999e-10
151,1.9444019999999999e-10
152,1.2435389999999999e-10
153,7.5610019999999997e-11
154,4.3552859999999997e-11
155,0.0000000000000000e+00
156,0.0000000000000000e+00
157,0.0000000000000000e+00
158,0.0000000000000000e+00
159,0.0000000000000000e+00
160,1.5392589999999999e-08
161,1.1400149999999999e-08
162,8.1285279999999996e-09
163,5.5703799999999999e-09
164,3.6378570000000000e-09
165,2.3464480000000001e-09
166,1.5299680000000000e-09
167,1.0178990000000001e-09
168,6.9321720000000005e-10
169,4.7810380000000000e-10
170,3.2789930000000001e-10
171,2.1941800000000001e-10
172,1.4106940000000000e-10
173,8.6267340000000005e-11
174,4.9967480000000002e-11
175,0.0000000000000000e+00
176,0.0000000000000000e+00
177,0.0000000000000000e+00
178,0.0000000000000000e+00
179,0.0000000000000000e+00
180,1.7401370000000000e-08
181,1.3087760000000001e-08
182,9.4286359999999994e-09
183,6.5517429999999997e-09
184,4.3480310000000002e-09
185,2.7993770000000002e-09
186,1.8168159999999999e-09
187,1.1951459999999999e-09
188,8.0509289999999995e-10
189,5.5141749999999997e-10
190,3.7802340000000000e-10
